Date, Daily Total, hour0, hour1, hour2, hour3, hour4, hour5, hour6, hour7, hour8, hour9, hour10, hour11, hour12, hour13, hour14, hour15, hour16, hour17, hour18, hour19, hour20, hour21, hour22, hour23
27-Mar-17,9,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0
26-Mar-17,67,0,0,0,0,0,0,2,6,6,8,9,5,6,7,7,4,7,0,0,0,0,0,0,0
25-Mar-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24-Mar-17,69,3,2,6,7,6,4,2,2,2,0,0,0,2,1,16,1,2,13,0,0,0,0,0,0
23-Mar-17,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,4,0
22-Mar-17,8,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0
21-Mar-17,27,2,1,1,0,0,0,0,3,5,1,0,0,0,0,0,0,0,1,7,5,1,0,0,0
20-Mar-17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,1
19-Mar-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar-17,34,0,0,0,2,2,4,1,14,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17-Mar-17,35,0,0,0,0,0,0,0,0,0,2,5,5,4,4,5,7,3,0,0,0,0,0,0,0
16-Mar-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15-Mar-17,69,2,6,7,7,12,11,8,0,3,1,0,0,5,0,1,2,1,3,0,0,0,0,0,0
14-Mar-17,66,3,1,0,0,0,0,0,0,1,6,1,3,2,6,7,9,6,5,4,4,3,3,2,0
13-Mar-17,78,0,0,0,0,0,0,0,0,4,6,11,21,11,1,4,6,1,1,5,3,0,1,1,2
12-Mar-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar-17,35,0,0,0,0,0,0,0,0,13,9,9,2,2,0,0,0,0,0,0,0,0,0,0,0
